from,to,source
36,1820-09-10,"Th OC-91"
1266,1820-09-11,"Th OC-91"
1108,1820-09-11,"Th OC-91"
861,1820-09-11,"Th OC-91"
1856,1820-09-12,"Th OC-91"
343,1820-09-12,"Th OC-91"
861,1820-09-13,"Th OC-91"
694,1820-09-13,"Th OC-91"
1208,1820-09-14,"Th OC-91"
219,1820-09-14,"Th OC-91"
1631,1820-09-15,"Th OC-91"
861,1820-09-15,"Th OC-91"
16,1820-09-15,"Th OC-91"
1639,1820-09-16,"Th OC-91"
990,1820-09-16,"Th OC-91"
729,1820-09-17,"Th OC-91"
157,1820-09-17,"Th OC-91"
1596,1820-09-18,"Th OC-91"
228,1820-09-18,"Th OC-91"
1234,1820-09-19,"Th OC-91"
861,1820-09-19,"Th OC-91"
990,1820-09-20,"Th OC-91"
640,1820-09-20,"Th OC-91"
517,1820-09-21,"Th OC-91"
861,1820-09-21,"Th OC-91"
1527,1820-09-22,"Th OC-91"
822,1820-09-22,"Th OC-91"
976,1820-09-22,"Th OC-91"
1004,1820-09-23,"Th OC-91"
225,1820-09-23,"Th OC-91"
1234,1820-09-24,"Th OC-91"
36,1820-09-24,"Th OC-91"
1746,1820-09-25,"Th OC-91"
517,1820-09-25,"Th OC-91"
1266,1820-09-26,"Th OC-91"
1856,1820-09-26,"Th OC-91"
543,1820-09-27,"Th OC-91"
1004,1820-09-27,"Th OC-91"
1403,1820-09-28,"Th OC-91"
1280,1820-09-28,"Th OC-91"
822,1820-09-28,"Th OC-91"
1004,1820-09-29,"Th OC-91"
343,1820-09-29,"Th OC-91"
1856,1820-09-30,"Th OC-91"
673,1820-09-30,"Th OC-91"
861,1820-10-01,"Th OC-91"
694,1820-10-01,"Th OC-91"
1803,1820-10-02,"Th OC-91"
990,1820-10-02,"Th OC-91"
1856,1820-10-03,"Th OC-91"
640,1820-10-03,"Th OC-91"
1108,1820-10-04,"Th OC-91"
1527,1820-10-04,"Th OC-91"
343,1820-10-04,"Th OC-91"
1004,1820-10-05,"Th OC-91"
964,1820-10-05,"Th OC-91"
861,1820-10-06,"Th OC-91"
453,1820-10-06,"Th OC-91"
1856,1820-10-07,"Th OC-91"
1144,1820-10-07,"Th OC-91"
36,1820-10-08,"TH OC-91"
964,1820-10-08,"Th OC-91"
153,1820-10-08,"Th OC-91"
861,1820-10-09,"Th OC-91"
453,1820-10-09,"Th OC-91"
1081,1820-10-10,"Th OC-91"
360,1820-10-10,"Th OC-91"
343,1820-10-10,"Th OC-91"
1234,1820-10-11,"Th OC-91"
16,1820-10-11,"Th OC-91"
1266,1820-10-12,"Th OC-91"
1856,1820-10-12,"Th OC-91"
1527,1820-10-13,"Th OC-91"
861,1820-10-13,"Th OC-91"
36,1820-10-13,"Th OC-91"
1639,1820-10-14,"Th OC-91"
990,1820-10-14,"Th OC-91"
730,1820-10-15,"Th OC-91"
453,1820-10-15,"Th OC-91"
1856,1820-10-17,"Th OC-91"
284,1820-10-17,"Th OC-91"
1741,1820-10-18,"Th OC-91"
981,1820-10-18,"Th OC-91"
640,1820-10-18,"Th OC-91"
1550,1820-10-19,"Th OC-91"
1004,1820-10-19,"Th OC-91"
1803,1820-10-20,"Th OC-91"
981,1820-10-20,"Th OC-91"
936,1820-10-20,"Th OC-91"
1741,1820-10-21,"Th OC-91"
1383,1820-10-21,"Th OC-91"
762,1820-10-22,"Th OC-91"
157,1820-10-22,"Th OC-91"
981,1820-10-23,"Th OC-91"
36,1820-10-23,"Th OC-91"
16,1820-10-23,"Th OC-91"
1856,1820-10-24,"Th OC-91"
153,1820-10-24,"Th OC-91"
1527,1820-10-25,"Th OC-91"
